"Hot Spots - Method","Self Time [%]","Self Time","Total Time","Invocations"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run()","23.994812","2.22 ms","9.149 ms","32"
"org.apache.catalina.webresources.Cache.backgroundProcess()","9.176394","0.849 ms","1.083 ms","3"
"org.apache.catalina.core.ContainerBase.getClusterInternal()","6.841764","0.633 ms","0.629 ms","12"
"org.apache.coyote.AbstractProtocol$2.run()","5.8690014","0.543 ms","0.542 ms","25"
"org.apache.catalina.core.ContainerBase.backgroundProcess()","5.6852574","0.526 ms","2.388 ms","12"
"org.apache.catalina.util.LifecycleBase.fireLifecycleEvent(String, Object)","5.0043235","0.463 ms","1.135 ms","15"
"org.apache.catalina.core.StandardContext.backgroundProcess()","4.3450065","0.402 ms","3.089 ms","3"
"org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessor.processChildren(org.apache.catalina.Container)","4.2801557","0.396 ms","5.932 ms","12"
"org.apache.catalina.core.ContainerBase.findChildren()","3.5559878","0.329 ms","0.327 ms","12"
"org.apache.catalina.core.StandardContext.getLoader()","2.8534372","0.264 ms","0.262 ms","9"
"org.apache.catalina.core.StandardContext.bind(boolean, ClassLoader)","2.215737","0.205 ms","0.219 ms","3"
"org.apache.catalina.mapper.MapperListener.lifecycleEvent(org.apache.catalina.LifecycleEvent)","1.7185473","0.159 ms","0.154 ms","12"
"org.apache.catalina.webresources.StandardRoot.gc()","1.5023779","0.139 ms","0.138 ms","3"
"org.apache.catalina.webresources.StandardRoot.backgroundProcess()","1.4699525","0.136 ms","1.358 ms","3"
"org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessor.run()","1.4483355","0.134 ms","6.067 ms","3"
"org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory$StaticResourceConfigurer.lifecycleEvent(org.apache.catalina.LifecycleEvent)","1.4267186","0.132 ms","0.131 ms","3"
"org.apache.catalina.webresources.Cache.evict(long, java.util.Iterator)","1.2645915","0.117 ms","0.117 ms","3"
"org.apache.catalina.core.StandardContext.getManager()","1.1889322","0.11 ms","0.109 ms","3"
"org.apache.catalina.core.StandardServer$2.run()","1.1565067","0.107 ms","0.205 ms","3"
"org.apache.catalina.LifecycleEvent.<init>(org.apache.catalina.Lifecycle, String, Object)","1.1456982","0.106 ms","0.101 ms","15"
"org.apache.catalina.core.StandardContext.getResources()","1.1240813","0.104 ms","0.103 ms","3"
"org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap.maintain()","0.9619542","0.089 ms","0.088 ms","3"
"org.apache.catalina.startup.Tomcat$FixContextListener.lifecycleEvent(org.apache.catalina.LifecycleEvent)","0.9187203","0.085 ms","0.14 ms","3"
"org.apache.catalina.core.StandardHost$MemoryLeakTrackingListener.lifecycleEvent(org.apache.catalina.LifecycleEvent)","0.82144403","0.076 ms","0.075 ms","3"
"org.apache.catalina.webresources.Cache$EvictionOrder.<init>(org.apache.catalina.webresources.Cache.1)","0.82144403","0.076 ms","0.115 ms","3"
"org.apache.catalina.core.ContainerBase.threadStart()","0.7890186","0.073 ms","0.073 ms","1"
"org.apache.catalina.core.StandardPipeline.getFirst()","0.76740164","0.071 ms","0.067 ms","12"
"org.apache.catalina.core.StandardContext.unbind(boolean, ClassLoader)","0.7025508","0.065 ms","0.064 ms","3"
"org.apache.catalina.core.DefaultInstanceManager.backgroundProcess()","0.6917423","0.064 ms","0.153 ms","3"
"org.apache.catalina.core.ContainerBase.getRealmInternal()","0.68093383","0.063 ms","0.057 ms","12"
"org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory$DisablePersistSessionListener.lifecycleEvent(org.apache.catalina.LifecycleEvent)","0.67012537","0.062 ms","0.061 ms","3"
"org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessorMonitor.run()","0.616083","0.057 ms","0.131 ms","1"
"org.apache.catalina.core.StandardServer$1.run()","0.60527456","0.056 ms","0.102 ms","1"
"org.apache.catalina.core.StandardServer.access$000(org.apache.catalina.core.StandardServer, String, Object)","0.5944661","0.055 ms","0.097 ms","3"
"org.apache.catalina.core.StandardWrapper.backgroundProcess()","0.58365756","0.054 ms","0.234 ms","3"
"org.apache.catalina.LifecycleEvent.getLifecycle()","0.58365756","0.054 ms","0.054 ms","3"
"org.apache.catalina.session.ManagerBase.backgroundProcess()","0.5728491","0.053 ms","0.053 ms","3"
"org.apache.catalina.core.StandardServer.startPeriodicLifecycleEvent()","0.48638132","0.045 ms","0.045 ms","1"
"org.apache.catalina.loader.WebappLoader.backgroundProcess()","0.44314742","0.041 ms","0.041 ms","3"
"org.apache.catalina.webresources.Cache$EvictionOrder.<init>()","0.4215305","0.039 ms","0.039 ms","3"
